"Active and Unique Audience",2007/04/01,2007/05/01,2007/06/01,2007/07/01,2007/08/01,2007/09/01,2007/10/01,2007/11/01,2007/12/01,2008/01/01,2008/02/01,2008/03/01,2008/04/01,2008/05/01,2008/06/01,2008/07/01,2008/08/01,2008/09/01,2008/10/01,2008/11/01,2008/12/01,2009/01/01,2009/02/01,2009/03/01,2009/04/01,2009/05/01,2009/06/01,2009/07/01,2009/08/01,2009/09/01,2009/10/01,2009/11/01,2009/12/01,2010/01/01,2010/02/01,2010/03/01,2010/04/01,2010/05/01,2010/06/01,2010/07/01,2010/08/01,2010/09/01,2010/10/01,2010/11/01,2010/12/01,2011/01/01,2011/02/01,2011/03/01,2011/04/01,2011/05/01,2011/06/01,2011/07/01,2011/08/01,2011/09/01,2011/10/01,2011/11/01,2011/12/01,2012/01/01,2012/02/01,2012/03/01,2012/04/01,2012/05/01,2012/06/01,2012/07/01,2012/08/01,2012/09/01,2012/10/01
Spain,605468,561584,567301,522375,559509,540716,639447,800918,865949,833257,789435,839069,937868,925185,949086,984275,1188708,1198494,1293133,1307793,1581236,1616468,1758744,1869880,2047842,2017757,2122935,2223902,2452268,2609372,2806345,2926851,3211224,3342329,3883408,4236322,4614369,4732491,4702233,4769264,4939999,5174642,5418817,5516356,5744546,5875037,6164437,6345239,6605916,6573196,6732998,7028622,7563107,8067981,8851440,9239984,9795477,10119464,10588509,10950865,11282192,11626568,12083098,12533857,12765281,12954193,13137513
Italy,638386,682349,729541,692248,642413,594439,693488,880845,1022246,1069797,1184931,1263601,1310588,1173232,1158418,1182127,1389759,1484968,1663240,1870894,2442236,3109011,3684306,3846536,3822332,3491455,3745711,3816504,4267558,4376842,4525886,4717999,5146362,5510901,6086685,6662910,7229734,7352086,7107639,7071486,7331279,7789251,7887506,7813684,7953576,8116277,8454974,8582593,8738481,8864269,8858326,9162231,9393392,9788078,10370833,10548654,11038822,11171274,11646060,11647922,11919527,12229293,12918464,13163999,13400124,13465121,13742119
France,638386,682349,729541,692248,642413,594439,693488,880845,1022246,1069797,1184931,1263601,1310588,1173232,1158418,1182127,1389759,1484968,1663240,1870894,2442236,3109011,3684306,3846536,3822332,3491455,3745711,3816504,4267558,4376842,4525886,4717999,5146362,5510901,6086685,6662910,7229734,7352086,7107639,7071486,7331279,7789251,7887506,7813684,7953576,8116277,8454974,8582593,8738481,8864269,8858326,9162231,9393392,9788078,10370833,10548654,11038822,11171274,11646060,11647922,11919527,12229293,12918464,13163999,13400124,13465121,13742119
